epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.19132,1.92031,3.98609,1.4195,0.04179,0.252,0.05263,0.0303,1.40909,3.81521,1.12428,0.0003,0.0003,0.0003
2,14.3281,1.73383,3.02021,1.19392,0.03398,0.2519,0.06127,0.03433,1.37876,3.74802,1.13174,0.000600373,0.000600373,0.000600373
3,20.4496,1.69243,2.00223,1.16349,0.05133,0.27515,0.0728,0.04469,1.36132,3.47162,1.11553,0.00088837,0.00088837,0.00088837
4,26.2049,1.59466,1.64198,1.16889,0.93922,0.06894,0.1291,0.07718,1.48628,2.61489,1.17361,0.00116399,0.00116399,0.00116399
5,31.9163,1.53896,1.48036,1.14426,0.93155,0.14111,0.15966,0.09628,1.46594,2.04103,1.17637,0.001151,0.001151,0.001151
6,37.7164,1.45832,1.42522,1.12608,0.9333,0.1336,0.16104,0.10165,1.39132,1.97832,1.1399,0.00112625,0.00112625,0.00112625
7,43.446,1.47477,1.42921,1.13317,0.9262,0.16867,0.18191,0.11281,1.35459,1.49957,1.10352,0.0011015,0.0011015,0.0011015
8,49.2855,1.43452,1.39463,1.11153,0.9242,0.17455,0.1955,0.12708,1.28927,1.32708,1.08414,0.00107675,0.00107675,0.00107675
9,54.9803,1.40484,1.29196,1.0976,0.92983,0.17634,0.2105,0.13114,1.25233,1.22114,1.07842,0.001052,0.001052,0.001052
10,60.6541,1.36003,1.25044,1.08726,0.70688,0.21989,0.21727,0.1341,1.25633,1.2277,1.0797,0.00102725,0.00102725,0.00102725
11,66.3258,1.36102,1.20487,1.07933,0.7375,0.24789,0.2448,0.14342,1.28395,1.18125,1.10455,0.0010025,0.0010025,0.0010025
12,72.2453,1.36891,1.20758,1.09487,0.73193,0.25908,0.2492,0.14911,1.20736,1.17865,1.06524,0.00097775,0.00097775,0.00097775
13,78.1265,1.3513,1.19223,1.08674,0.73387,0.23447,0.24397,0.14706,1.20502,1.14435,1.06229,0.000953,0.000953,0.000953
14,83.9351,1.37007,1.18223,1.09321,0.7534,0.26214,0.25826,0.15341,1.2332,1.1703,1.06231,0.00092825,0.00092825,0.00092825
15,89.7713,1.33804,1.16594,1.07612,0.73412,0.23921,0.23991,0.1419,1.25487,1.15201,1.07373,0.0009035,0.0009035,0.0009035
16,95.5402,1.32767,1.13467,1.08818,0.70829,0.28076,0.25705,0.15318,1.21992,1.13498,1.06035,0.00087875,0.00087875,0.00087875
17,101.295,1.29474,1.13783,1.07937,0.71775,0.25147,0.25356,0.14992,1.20969,1.15757,1.05655,0.000854,0.000854,0.000854
18,107.168,1.29466,1.11817,1.05861,0.71344,0.28131,0.26526,0.15493,1.194,1.12371,1.06592,0.00082925,0.00082925,0.00082925
