epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.21432,1.9321,4.01403,1.42767,0.05584,0.38592,0.07538,0.03894,1.51136,3.75647,1.09894,0.0003,0.0003,0.0003
2,12.9449,1.77962,3.03724,1.18968,0.03032,0.25024,0.05199,0.02989,1.37174,3.69092,1.07919,0.000600373,0.000600373,0.000600373
3,18.2564,1.73715,2.01899,1.16829,0.04309,0.35647,0.08668,0.05591,1.37531,3.4296,1.09136,0.00088837,0.00088837,0.00088837
4,23.5539,1.57256,1.63771,1.15687,0.03677,0.39498,0.1379,0.08533,1.34734,2.72926,1.11841,0.00116399,0.00116399,0.00116399
5,28.7716,1.50673,1.45181,1.13609,0.92491,0.14019,0.15696,0.09596,1.40842,2.03228,1.14263,0.001151,0.001151,0.001151
6,34.0874,1.49236,1.40514,1.12534,0.91829,0.1587,0.16737,0.09681,1.41445,1.64483,1.12954,0.00112625,0.00112625,0.00112625
7,39.3807,1.47474,1.36568,1.12805,0.91269,0.16453,0.18342,0.11465,1.3469,1.43476,1.11011,0.0011015,0.0011015,0.0011015
8,44.7112,1.41635,1.34386,1.10563,0.92548,0.1741,0.19561,0.12632,1.25364,1.30314,1.05239,0.00107675,0.00107675,0.00107675
9,50.0575,1.4104,1.32205,1.10593,0.93275,0.17277,0.19478,0.12215,1.28345,1.25928,1.06977,0.001052,0.001052,0.001052
10,55.4535,1.399,1.3099,1.10348,0.92329,0.18438,0.20023,0.12983,1.23566,1.27184,1.05014,0.00102725,0.00102725,0.00102725
11,61.0096,1.35746,1.25559,1.09018,0.92187,0.18338,0.22201,0.14091,1.22621,1.27288,1.0562,0.0010025,0.0010025,0.0010025
12,66.6825,1.36171,1.21057,1.08775,0.71474,0.21969,0.22058,0.13675,1.23961,1.22199,1.0777,0.00097775,0.00097775,0.00097775
13,72.2395,1.30761,1.14758,1.06656,0.73361,0.19413,0.21522,0.13311,1.27901,1.22307,1.08964,0.000953,0.000953,0.000953
14,77.8291,1.31984,1.15395,1.07059,0.6951,0.26151,0.24466,0.14906,1.23476,1.16294,1.07789,0.00092825,0.00092825,0.00092825
15,83.3614,1.34111,1.16461,1.09807,0.77319,0.25952,0.27508,0.16229,1.20557,1.11629,1.06479,0.0009035,0.0009035,0.0009035
16,89.1778,1.35201,1.15163,1.0925,0.77155,0.23475,0.26545,0.16014,1.21592,1.12248,1.07497,0.00087875,0.00087875,0.00087875
17,94.4836,1.31374,1.12507,1.0789,0.73997,0.24299,0.25773,0.15334,1.19759,1.11864,1.06573,0.000854,0.000854,0.000854
18,99.7403,1.29047,1.10425,1.07138,0.7381,0.2562,0.25562,0.15577,1.18599,1.12271,1.06234,0.00082925,0.00082925,0.00082925
